repeat,reverse_mode,connections,concurrency,completed,qps,latency_mean_us,latency_p50_us,latency_p99_us,proxy_cpu_pct,mock_cpu_pct,rpc_errors,reconnects
1,dpu-dma,4,256,194982,19498.2,13126.181533813378,13310.684,17319.2,99.9021106708749,0.0,0,0
2,dpu-dma,4,256,195433,19543.3,13098.294353103109,13262.336,17097.298,100.00991980450621,0.0,0,0
3,dpu-dma,4,256,194952,19495.2,13132.995038891624,13315.664,17029.216,99.89486526481612,0.0,0,0
