run_index,diagnostic,repeat,W,K,connections_total,concurrency_total,qps,completed,payload_validation_passed,metrics_validation_passed,validation_issues,metrics_issues,measurement_start,measurement_end,proxy_cpu_pct,controller_cpu_pct,controller_children_cpu_pct,per_core_busy_min_pct,per_core_busy_max_pct,per_core_busy_pct,named_shard_cpu_min_pct,named_shard_cpu_max_pct,named_shard_cpu_pct,named_shard_affinity,host_client_cpu_total_pct,host_server_cpu_total_pct,host_client_8core_occupancy_pct,host_server_8core_occupancy_pct,host_client_cpu_pct,host_server_cpu_pct,worker_qps,latency_p99_max_across_workers_us_NOT_global_p99,worker_latency_p99_us,worker_latency_mean_us
0,False,1,16,4,64,4096,200568.59999999998,2005686,True,True,[],[],2026-09-26T03:52:11.682809+00:00,2026-09-26T03:52:21.682809+00:00,1574.9347345463289,0.29994947966220076,0.0,99.89989989989989,99.9000999000999,"{""0"":99.9000999000999,""1"":99.89989989989989,""2"":99.9,""3"":99.89989989989989,""4"":99.9,""5"":99.9000999000999,""6"":99.9000999000999,""7"":99.89989989989989,""8"":99.9000999000999,""9"":99.9,""10"":99.9,""11"":99.9000999000999,""12"":99.9000999000999,""13"":99.9,""14"":99.89989989989989,""15"":99.9}",92.98433869528223,99.78319356762546,"{""0"":98.48341248908925,""1"":99.78319356762546,""2"":99.48324408796326,""3"":99.68321040773806,""4"":92.98433869528223,""5"":98.68337880886405,""6"":98.28344616931444,""7"":94.48408609359325,""8"":98.98332828852625,""9"":98.48341248908925,""10"":99.48324408796326,""11"":99.08331144841365,""12"":99.68321040773806,""13"":98.88334512863885,""14"":98.88334512863885,""15"":98.88334512863885}","{""0"":[15],""1"":[14],""2"":[13],""3"":[12],""4"":[11],""5"":[10],""6"":[9],""7"":[8],""8"":[7],""9"":[6],""10"":[5],""11"":[4],""12"":[3],""13"":[2],""14"":[1],""15"":[0]}",762.4230283064121,782.523635427292,95.30287853830151,97.8154544284115,"[48.00144984090737,48.901477025424384,48.40146192291493,47.7014407794017,45.20136526685444,46.801413594884686,48.20145588191115,47.00141963588847,47.90144682040548,48.00144984090737,47.7014407794017,47.50143473839792,48.901477025424384,46.801413594884686,48.60146796391871,46.801413594884686]","[49.8015042099414,49.8015042099414,51.20154649696786,49.60149816893762,47.401431717896024,49.20148608693005,48.40146192291493,47.00141963588847,48.60146796391871,49.60149816893762,49.901507230443286,49.60149816893762,48.901477025424384,47.00141963588847,49.50149514843572,47.00141963588847]","{""0"":12713.6,""1"":13073.8,""2"":12733.9,""3"":12719.9,""4"":11659.9,""5"":12388.1,""6"":12635.3,""7"":12128.1,""8"":12574.8,""9"":12614.9,""10"":12756,""11"":12561,""12"":12782.5,""13"":12276.9,""14"":12752.2,""15"":12197.7}",67984.536,"[40937.675,40078.583,40296.309,41503.655,67984.536,42376.875,41893.082,43280.597,40082.485,43540.607,41387.7,44318.612,42381.359,42551.873,42535.329,44220.136]","[20179.826293591115,19577.15624001438,20114.34540663112,20139.876316449026,21953.540339599826,20635.98596514397,20272.8290027067,21096.958205852523,20365.879632853008,20291.668866721102,20055.866122499217,20379.902260130562,20014.434082847645,20826.664838786666,20075.654539357914,20980.043445584004]"
1,False,2,16,4,64,4096,195471.1,1954711,True,True,[],[],2026-09-26T03:52:27.951506+00:00,2026-09-26T03:52:37.951506+00:00,1519.9427633534137,0.40030096480205785,0.0,99.5995995995996,99.79959919839679,"{""0"":99.69969969969969,""1"":99.69969969969969,""2"":99.6993987975952,""3"":99.69969969969969,""4"":99.6993987975952,""5"":99.69969969969969,""6"":99.6993987975952,""7"":99.69969969969969,""8"":99.79959919839679,""9"":99.6993987975952,""10"":99.79959919839679,""11"":99.79959919839679,""12"":99.5995995995996,""13"":99.79959919839679,""14"":99.79959919839679,""15"":99.69969969969969}",91.16854473366868,98.27388685890521,"{""0"":94.17080196968412,""1"":91.16854473366868,""2"":96.27238203489492,""3"":94.47102769328566,""4"":91.46877045727022,""5"":94.57110293448618,""6"":94.47102769328566,""7"":95.27162962288978,""8"":98.27388685890521,""9"":95.07147914048875,""10"":97.47328492930109,""11"":96.872833482098,""12"":95.97215631129338,""13"":94.37095245208515,""14"":91.76899618087177,""15"":97.37320968810057}","{""0"":[15],""1"":[14],""2"":[13],""3"":[12],""4"":[11],""5"":[10],""6"":[9],""7"":[8],""8"":[7],""9"":[6],""10"":[5],""11"":[4],""12"":[3],""13"":[2],""14"":[1],""15"":[0]}",760.3802758418886,778.9773476770748,95.04753448023608,97.37216845963435,"[46.592663845143996,46.592663845143996,47.69249067410662,47.092585131036095,46.392695330787156,47.79247493128504,47.89245918846346,47.39253790257136,48.0924277028203,46.992600873857675,47.89245918846346,48.59234898871241,47.39253790257136,47.79247493128504,46.292711073608736,49.892144332031876]","[48.49236473153399,47.99244344564188,49.592191560496616,48.0924277028203,47.092585131036095,48.89230176024767,49.492207303318196,47.89245918846346,49.792160074853456,46.992600873857675,49.592191560496616,49.39222304613977,47.99244344564188,49.19225453178293,48.29239621717715,50.192097103567136]","{""0"":12081.4,""1"":11878.4,""2"":12444.6,""3"":12114.3,""4"":11588.2,""5"":12144,""6"":12290.4,""7"":12173.9,""8"":12695.7,""9"":12186.4,""10"":12556,""11"":12489.1,""12"":12162.1,""13"":12287,""14"":12015.6,""15"":12364}",101060.645,"[71463.536,95169.922,50138.979,55709.056,69541.096,46894.471,49634.269,43210.875,40994.359,49535.077,42963.238,44857.378,49941.955,45637.188,101060.645,42195.494]","[21177.92253379575,21554.17069178509,20594.125598090737,21131.747357610428,22090.60535649195,21052.860890843218,20819.198809363406,21026.605087309737,20188.33557217798,21006.194519341236,20391.731623367312,20461.7973628444,21046.762234737424,20859.879140384146,21303.901077041515,20707.97691640246]"
2,False,3,16,4,64,4096,200610.0,2006100,True,True,[],[],2026-09-26T03:52:44.202277+00:00,2026-09-26T03:52:54.202277+00:00,1570.5113031611634,0.30011681696181225,0.0,98.69608826479438,99.9,"{""0"":99.9,""1"":99.89989989989989,""2"":99.49949949949949,""3"":99.7997997997998,""4"":99.1,""5"":99.89989989989989,""6"":99.7997997997998,""7"":99.5,""8"":99.49949949949949,""9"":99.7997997997998,""10"":98.69608826479438,""11"":99.8997995991984,""12"":99.89989989989989,""13"":99.8001998001998,""14"":98.7,""15"":99.79959919839679}",94.43675840398359,99.63878323132167,"{""0"":99.13858853638531,""1"":96.23745930575446,""2"":99.63878323132167,""3"":99.43870535334712,""4"":97.33788763461443,""5"":98.03816020752532,""6"":94.43675840398359,""7"":97.83808232955079,""8"":98.43831596347441,""9"":99.03854959739803,""10"":98.73843278043623,""11"":98.43831596347441,""12"":99.43870535334712,""13"":98.33827702448714,""14"":96.53757612271627,""15"":98.73843278043623}","{""0"":[15],""1"":[14],""2"":[13],""3"":[12],""4"":[11],""5"":[10],""6"":[9],""7"":[8],""8"":[7],""9"":[6],""10"":[5],""11"":[4],""12"":[3],""13"":[2],""14"":[1],""15"":[0]}",764.473095255551,781.57473043199,95.55913690694388,97.69684130399875,"[47.60455171921014,46.804475219727614,47.40453259433951,49.50473340548113,47.00449434459825,46.90448478216293,44.804283971021306,48.10459953138672,49.70475253035176,49.60474296791645,47.40453259433951,47.704561281645454,48.10459953138672,46.804475219727614,48.70465690599861,48.30461865625735]","[50.00478121765771,47.704561281645454,48.70465690599861,49.60474296791645,47.10450390703356,47.10450390703356,47.10450390703356,50.70484815470492,50.70484815470492,50.90486727957555,48.204609093822036,48.90467603086924,48.70465690599861,48.30461865625735,49.204704718175186,48.60464734356329]","{""0"":12745.4,""1"":12231.7,""2"":12454.5,""3"":12908.1,""4"":12286.2,""5"":12289.3,""6"":11864,""7"":12613.4,""8"":12954.2,""9"":13063.5,""10"":12578.6,""11"":12479.4,""12"":12622.2,""13"":12389.2,""14"":12678.4,""15"":12451.9}",66692.323,"[39292.738,46929.818,42587.765,43263.157,53405.823,46188.185,66692.323,41390.508,38656.192,39313.997,43006.797,44275.434,42853.984,45094.936,42500.311,42954.37]","[20070.632590244324,20937.380830301594,20542.525035216186,19844.370593146938,20866.25958294672,20819.992755104035,21596.10362211733,20300.79423138884,19751.818093035465,19576.994163202817,20373.6929241728,20499.30185684408,20284.356519354787,20666.283595147386,20221.104588339225,20586.630547225726]"
