run_index,diagnostic,repeat,W,K,connections_total,concurrency_total,qps,completed,payload_validation_passed,metrics_validation_passed,validation_issues,metrics_issues,measurement_start,measurement_end,proxy_cpu_pct,controller_cpu_pct,controller_children_cpu_pct,per_core_busy_min_pct,per_core_busy_max_pct,per_core_busy_pct,named_shard_cpu_min_pct,named_shard_cpu_max_pct,named_shard_cpu_pct,named_shard_affinity,host_client_cpu_total_pct,host_server_cpu_total_pct,host_client_8core_occupancy_pct,host_server_8core_occupancy_pct,host_client_cpu_pct,host_server_cpu_pct,worker_qps,latency_p99_max_across_workers_us_NOT_global_p99,worker_latency_p99_us,worker_latency_mean_us
10,False,1,2,1,2,128,27521.1,275211,True,True,[],[],2026-09-26T01:30:51.068629+00:00,2026-09-26T01:31:01.068629+00:00,199.9145943861957,,,100.0,100.0,"{""14"":100.0,""15"":100.0}",100.0073008435196,100.0073008435196,"{""0"":100.0073008435196,""1"":100.0073008435196}","{""0"":[15],""1"":[14]}",262.20891499700065,261.20888099624926,32.77611437462508,32.65111012453116,"[131.604474498876,130.60444049812463]","[131.10445749850032,130.10442349774897]","{""0"":13780.5,""1"":13740.6}",6715.524,"[6715.524,6671.576]","[4643.4914336417405,4658.147622418235]"
11,False,2,2,1,2,128,27684.3,276843,True,True,[],[],2026-09-26T01:31:06.321347+00:00,2026-09-26T01:31:16.321347+00:00,200.00915951830964,,,100.0,100.0,"{""14"":100.0,""15"":100.0}",99.90457517939566,100.10458433891398,"{""0"":100.10458433891398,""1"":99.90457517939566}","{""0"":[15],""1"":[14]}",262.49972723656504,262.2997274443848,32.81246590457063,32.7874659305481,"[132.19986263113867,130.2998646054264]","[132.19986263113867,130.09986481324614]","{""0"":13918.5,""1"":13765.8}",6764.776,"[6745.05,6764.776]","[4597.213844408521,4648.206114196051]"
12,False,3,2,1,2,128,27507.6,275076,True,True,[],[],2026-09-26T01:31:21.575703+00:00,2026-09-26T01:31:31.575703+00:00,199.91236293996963,,,99.9000999000999,100.0,"{""14"":99.9000999000999,""15"":100.0}",99.90617837770368,100.1061907468282,"{""0"":100.1061907468282,""1"":99.90617837770368}","{""0"":[15],""1"":[14]}",261.29545249065006,260.6954629326922,32.66193156133126,32.58693286658652,"[131.39771319277236,129.8977392978777]","[130.39773059617593,130.29773233651628]","{""0"":13755.1,""1"":13752.5}",6698.035,"[6636.84,6698.035]","[4651.512795108723,4654.3478246864215]"
13,False,1,2,2,4,256,35790.399999999994,357904,True,True,[],[],2026-09-26T01:31:40.887631+00:00,2026-09-26T01:31:50.887631+00:00,200.00268611706414,,,100.0,100.0,"{""14"":100.0,""15"":100.0}",100.00134305853207,100.00134305853207,"{""0"":100.00134305853207,""1"":100.00134305853207}","{""0"":[15],""1"":[14]}",288.5965055568631,303.6963227221737,36.07456319460789,37.96204034027171,"[143.8982576217346,144.6982479351285]","[151.79816196649972,151.89816075567396]","{""0"":17913.8,""1"":17876.6}",10217.865,"[10217.865,10208.779]","[7144.403380349228,7159.6832622982]"
14,False,2,2,2,4,256,35692.2,356922,True,True,[],[],2026-09-26T01:31:56.346545+00:00,2026-09-26T01:32:06.346545+00:00,199.99617613479725,,,100.0,100.0,"{""14"":100.0,""15"":100.0}",99.99808806739863,99.99808806739863,"{""0"":99.99808806739863,""1"":99.99808806739863}","{""0"":[15],""1"":[14]}",286.68202139943656,301.7810744972095,35.83525267492957,37.722634312151186,"[143.6909887516534,142.99103264778316]","[151.0905247068534,150.69054979035607]","{""0"":17894.8,""1"":17797.4}",10408.655,"[10314.22,10408.655]","[7151.989909403849,7191.326159461494]"
15,False,3,2,2,4,256,35891.5,358915,True,True,[],[],2026-09-26T01:32:11.802447+00:00,2026-09-26T01:32:21.802447+00:00,199.90334214403256,,,100.0,100.0,"{""14"":100.0,""15"":100.0}",100.00167190797026,100.00167190797026,"{""0"":100.00167190797026,""1"":100.00167190797026}","{""0"":[15],""1"":[14]}",288.5288250115733,304.2303936517179,36.06610312644666,38.02879920646474,"[145.11449743216392,143.41432757940942]","[152.51523679121294,151.71515686050495]","{""0"":17972.6,""1"":17918.9}",10149.685,"[10142.828,10149.685]","[7120.661651920145,7143.072682285185]"
16,False,1,2,4,8,512,40281.5,402815,True,True,[],[],2026-09-26T01:32:31.559616+00:00,2026-09-26T01:32:41.559616+00:00,199.91070493903794,,,100.0,100.0,"{""14"":100.0,""15"":100.0}",99.90534979194541,99.90534979194541,"{""0"":99.90534979194541,""1"":99.90534979194541}","{""0"":[15],""1"":[14]}",298.31164731099716,322.01257269239386,37.288955913874645,40.25157158654923,"[149.0058177986543,149.30582951234288]","[161.60630977357408,160.4062629188198]","{""0"":20241.5,""1"":20040}",17099.909,"[17001.161,17099.909]","[12648.645696736901,12782.113525099801]"
17,False,2,2,4,8,512,40211.6,402116,True,True,[],[],2026-09-26T01:32:47.397609+00:00,2026-09-26T01:32:57.397609+00:00,199.99993175968993,,,100.0,100.0,"{""14"":100.0,""15"":100.0}",99.89996591396512,99.99996587984496,"{""0"":99.99996587984496,""1"":99.89996591396512}","{""0"":[15],""1"":[14]}",297.68043170826286,322.1788212845223,37.21005396353286,40.27235266056529,"[150.3901139701805,147.29031773808234]","[161.5893777764705,160.58944350805177]","{""0"":20207.3,""1"":20004.3}",17033.836,"[17033.836,16906.64]","[12672.749215867532,12804.224530875861]"
18,False,3,2,4,8,512,40191.600000000006,401916,True,True,[],[],2026-09-26T01:33:03.257830+00:00,2026-09-26T01:33:13.257830+00:00,199.99249675987494,,,100.0,100.0,"{""14"":100.0,""15"":100.0}",99.99624837993747,99.99624837993747,"{""0"":99.99624837993747,""1"":99.99624837993747}","{""0"":[15],""1"":[14]}",298.09544671180737,321.19509387397693,37.26193083897592,40.149386734247116,"[148.79772717449492,149.29771953731245]","[161.19753777236951,159.99755610160744]","{""0"":20198.9,""1"":19992.7}",17073.059,"[16839.469,17073.059]","[12673.493727628733,12803.548566776873]"
19,False,1,4,1,4,256,55686.7,556867,True,True,[],[],2026-09-26T01:33:27.253893+00:00,2026-09-26T01:33:37.253893+00:00,400.0110686280423,,,100.0,100.0,"{""12"":100.0,""13"":100.0,""14"":100.0,""15"":100.0}",99.90276438985357,100.00276715701058,"{""0"":100.00276715701058,""1"":100.00276715701058,""2"":99.90276438985357,""3"":99.90276438985357}","{""0"":[15],""1"":[14],""2"":[13],""3"":[12]}",505.6486165480168,497.84786653006876,63.2060770685021,62.230983316258595,"[126.4121541370042,126.81219259946307,127.01221183069251,125.41205798085701]","[124.8120002871687,125.51206759647174,125.01201951839813,122.51177912803017]","{""0"":13937.9,""1"":13957.2,""2"":13978.3,""3"":13813.3}",7833.624,"[7555.504,7778.581,7833.624,7675.178]","[4590.5659230013125,4584.951962492477,4578.506011088616,4631.8509551302]"
20,False,2,4,1,4,256,55958.3,559583,True,True,[],[],2026-09-26T01:33:42.537575+00:00,2026-09-26T01:33:52.537575+00:00,400.0050075839383,,,100.0,100.0,"{""12"":100.0,""13"":100.0,""14"":100.0,""15"":100.0}",99.90125064408859,100.00125189598458,"{""0"":99.90125064408859,""1"":100.00125189598458,""2"":100.00125189598458,""3"":100.00125189598458}","{""0"":[15],""1"":[14],""2"":[13],""3"":[12]}",509.46839991960326,500.66894571098203,63.68354998995041,62.583618213872754,"[128.09205501413382,127.49209222718237,127.0921170358814,126.79213564240568]","[125.69220386632803,125.29222867502706,125.79219766415326,123.89231550547369]","{""0"":14081.1,""1"":13992.7,""2"":13972.4,""3"":13912.1}",7795.976,"[7613.103,7599.995,7695.499,7795.976]","[4544.325754316069,4575.080455659023,4579.537670672182,4599.857950287878]"
21,False,3,4,1,4,256,56010.9,560109,True,True,[],[],2026-09-26T01:33:57.812144+00:00,2026-09-26T01:34:07.812144+00:00,399.98481613481493,,,100.0,100.0,"{""12"":100.0,""13"":100.0,""14"":100.0,""15"":100.0}",99.89620782967002,99.99620403370373,"{""0"":99.99620403370373,""1"":99.99620403370373,""2"":99.89620782967002,""3"":99.89620782967002}","{""0"":[15],""1"":[14],""2"":[13],""3"":[12]}",510.2647719369962,499.3655244078697,63.78309649212453,62.420690550983714,"[127.49119816180094,127.29121196860595,127.49119816180094,127.99116364478839]","[125.09136384346115,123.89144668429127,125.19135694005864,125.19135694005864]","{""0"":13985.1,""1"":13914.4,""2"":14020.8,""3"":14090.6}",7699.346,"[7622.16,7540.092,7699.346,7590.076]","[4577.129878913987,4598.562761556373,4564.677937286032,4541.7239098122145]"
22,False,1,4,2,8,512,70154.7,701547,True,True,[],[],2026-09-26T01:34:17.580059+00:00,2026-09-26T01:34:27.580059+00:00,400.0289681762709,,,100.0,100.0,"{""12"":100.0,""13"":100.0,""14"":100.0,""15"":100.0}",99.90723480202365,100.00724204406772,"{""0"":99.90723480202365,""1"":100.00724204406772,""2"":100.00724204406772,""3"":99.90723480202365}","{""0"":[15],""1"":[14],""2"":[13],""3"":[12]}",525.3419144577654,537.1428559970793,65.66773930722067,67.14285699963492,"[131.31047661965465,131.1104606613612,131.31047661965465,131.61050055709484]","[134.11070003576305,134.61073993149668,134.71074791064342,133.71066811917615]","{""0"":17526.8,""1"":17574.3,""2"":17562,""3"":17491.6}",12032.741,"[11962.741,11441.374,11931.119,12032.741]","[7302.156787468335,7280.209139550367,7286.354912840223,7316.550538767179]"
23,False,2,4,2,8,512,70124.5,701245,True,True,[],[],2026-09-26T01:34:33.065865+00:00,2026-09-26T01:34:43.065865+00:00,399.9169315223918,,,100.0,100.0,"{""12"":100.0,""13"":100.0,""14"":100.0,""15"":100.0}",99.90422970514363,100.10423817302181,"{""0"":100.00423393908272,""1"":100.10423817302181,""2"":99.90422970514363,""3"":100.00423393908272}","{""0"":[15],""1"":[14],""2"":[13],""3"":[12]}",525.0806255754794,538.0801459191878,65.63507819693493,67.26001823989847,"[130.29519236809173,130.69517760943663,132.99509274716962,131.0951628507815]","[133.3950779885145,134.4950374022129,135.6949931262475,134.4950374022129]","{""0"":17501.5,""1"":17541.7,""2"":17607.5,""3"":17473.8}",11999.719,"[11980.514,11999.719,11840.677,11926.549]","[7311.639067628489,7296.9490236123065,7269.66920340196,7322.595620694984]"
24,False,3,4,2,8,512,69839.8,698398,True,True,[],[],2026-09-26T01:34:48.548036+00:00,2026-09-26T01:34:58.548036+00:00,400.01354043365683,,,100.0,100.0,"{""12"":100.0,""13"":100.0,""14"":100.0,""15"":100.0}",99.97839051078651,99.97839051078651,"{""0"":99.97839051078651,""1"":99.97839051078651,""2"":99.97839051078651,""3"":99.97839051078651}","{""0"":[15],""1"":[14],""2"":[13],""3"":[12]}",522.9246601824544,535.225240255593,65.3655825228068,66.90315503194913,"[130.5061544345196,129.70611670618538,131.4061968788956,131.30619216285382]","[133.00627233556403,133.30628648368935,135.70639966869203,133.2062817676476]","{""0"":17403.6,""1"":17526.7,""2"":17491.1,""3"":17418.4}",12254.586,"[11978.003,11569.764,12026.582,12254.586]","[7354.501268588108,7305.406428654567,7316.648860048825,7345.0216817675555]"
